Date,Open,High,Low,Close,Volume,Category,count,pos,neg
2017-06-26,372500,372500,365000,367500,28493,3,3.0,3.0,0.0
2017-06-26,372500,372500,365000,367500,28493,4,3.0,3.0,0.0
2017-06-26,372500,372500,365000,367500,28493,5,3.0,3.0,0.0
2017-06-26,372500,372500,365000,367500,28493,6,3.0,3.0,0.0
2017-06-26,372500,372500,365000,367500,28493,7,3.0,3.0,0.0
2017-06-26,372500,372500,365000,367500,28493,8,3.0,3.0,0.0
2017-06-26,372500,372500,365000,367500,28493,9,3.0,3.0,0.0
2017-06-26,372500,372500,365000,367500,28493,10,3.0,3.0,0.0
2017-06-26,372500,372500,365000,367500,28493,11,3.0,3.0,0.0
2017-06-27,364500,367000,362000,365500,30636,2,1.0,1.0,0.0
2017-06-27,364500,367000,362000,365500,30636,3,1.0,1.0,0.0
2017-06-27,364500,367000,362000,365500,30636,4,1.0,1.0,0.0
2017-06-27,364500,367000,362000,365500,30636,5,1.0,1.0,0.0
2017-06-27,364500,367000,362000,365500,30636,6,1.0,1.0,0.0
2017-06-27,364500,367000,362000,365500,30636,7,1.0,1.0,0.0
2017-06-27,364500,367000,362000,365500,30636,8,1.0,1.0,0.0
2017-06-27,364500,367000,362000,365500,30636,9,1.0,1.0,0.0
2017-06-27,364500,367000,362000,365500,30636,10,1.0,1.0,0.0
2017-06-27,364500,367000,362000,365500,30636,11,1.0,1.0,0.0
2017-06-28,364500,364500,359000,363000,39800,2,4.0,2.0,0.0
2017-06-28,364500,364500,359000,363000,39800,3,4.0,2.0,0.0
2017-06-28,364500,364500,359000,363000,39800,4,4.0,2.0,0.0
2017-06-28,364500,364500,359000,363000,39800,5,4.0,2.0,0.0
2017-06-28,364500,364500,359000,363000,39800,6,4.0,2.0,0.0
2017-06-28,364500,364500,359000,363000,39800,7,4.0,2.0,0.0
2017-06-28,364500,364500,359000,363000,39800,8,4.0,2.0,0.0
2017-06-28,364500,364500,359000,363000,39800,9,4.0,2.0,0.0
2017-06-28,364500,364500,359000,363000,39800,10,4.0,2.0,0.0
2017-06-28,364500,364500,359000,363000,39800,11,4.0,2.0,0.0
2017-06-29,364500,364500,359500,361500,37265,2,5.0,3.0,0.0
2017-06-29,364500,364500,359500,361500,37265,3,5.0,3.0,0.0
2017-06-29,364500,364500,359500,361500,37265,4,5.0,3.0,0.0
2017-06-29,364500,364500,359500,361500,37265,5,5.0,3.0,0.0
2017-06-29,364500,364500,359500,361500,37265,6,5.0,3.0,0.0
2017-06-29,364500,364500,359500,361500,37265,7,5.0,3.0,0.0
2017-06-29,364500,364500,359500,361500,37265,8,5.0,3.0,0.0
2017-06-29,364500,364500,359500,361500,37265,9,5.0,3.0,0.0
2017-06-29,364500,364500,359500,361500,37265,10,5.0,3.0,0.0
2017-06-29,364500,364500,359500,361500,37265,11,5.0,3.0,0.0
2017-06-30,360500,362500,359000,361500,30097,2,,,
2017-06-30,360500,362500,359000,361500,30097,3,,,
2017-06-30,360500,362500,359000,361500,30097,4,,,
2017-06-30,360500,362500,359000,361500,30097,5,,,
2017-06-30,360500,362500,359000,361500,30097,6,,,
2017-06-30,360500,362500,359000,361500,30097,7,,,
2017-06-30,360500,362500,359000,361500,30097,8,,,
2017-06-30,360500,362500,359000,361500,30097,9,,,
2017-06-30,360500,362500,359000,361500,30097,10,,,
2017-06-30,360500,362500,359000,361500,30097,11,,,
2017-07-03,362000,365000,360000,361500,27429,2,1.0,1.0,0.0
2017-07-03,362000,365000,360000,361500,27429,3,1.0,1.0,0.0
2017-07-03,362000,365000,360000,361500,27429,4,1.0,1.0,0.0
2017-07-03,362000,365000,360000,361500,27429,5,1.0,1.0,0.0
2017-07-03,362000,365000,360000,361500,27429,6,1.0,1.0,0.0
2017-07-03,362000,365000,360000,361500,27429,7,1.0,1.0,0.0
2017-07-03,362000,365000,360000,361500,27429,8,1.0,1.0,0.0
2017-07-03,362000,365000,360000,361500,27429,9,1.0,1.0,0.0
2017-07-03,362000,365000,360000,361500,27429,10,1.0,1.0,0.0
2017-07-03,362000,365000,360000,361500,27429,11,1.0,1.0,0.0
2017-07-04,361500,363500,358000,358500,28430,2,1.0,1.0,0.0
2017-07-04,361500,363500,358000,358500,28430,3,1.0,1.0,0.0
