date,open,high,low,close,volume,roe,per,pbr,Date,Category,count,pos,neg
2014-02-28,275500,278500,272500,274500,56965,8.6,22.2,1.1,2014-02-28,2,,,
2014-02-28,275500,278500,272500,274500,56965,8.6,22.2,1.1,2014-02-28,3,,,
2014-02-28,275500,278500,272500,274500,56965,8.6,22.2,1.1,2014-02-28,4,,,
2014-02-28,275500,278500,272500,274500,56965,8.6,22.2,1.1,2014-02-28,5,,,
2014-02-28,275500,278500,272500,274500,56965,8.6,22.2,1.1,2014-02-28,6,,,
2014-02-28,275500,278500,272500,274500,56965,8.6,22.2,1.1,2014-02-28,7,,,
2014-02-28,275500,278500,272500,274500,56965,8.6,22.2,1.1,2014-02-28,8,,,
2014-02-28,275500,278500,272500,274500,56965,8.6,22.2,1.1,2014-02-28,9,,,
2014-02-28,275500,278500,272500,274500,56965,8.6,22.2,1.1,2014-02-28,10,,,
2014-02-28,275500,278500,272500,274500,56965,8.6,22.2,1.1,2014-02-28,11,,,
2014-03-03,274000,277500,271000,274000,48255,8.6,22.2,1.1,2014-03-03,2,4.0,2.0,0.0
2014-03-03,274000,277500,271000,274000,48255,8.6,22.2,1.1,2014-03-03,3,4.0,2.0,0.0
2014-03-03,274000,277500,271000,274000,48255,8.6,22.2,1.1,2014-03-03,4,4.0,2.0,0.0
2014-03-03,274000,277500,271000,274000,48255,8.6,22.2,1.1,2014-03-03,5,4.0,2.0,0.0
2014-03-03,274000,277500,271000,274000,48255,8.6,22.2,1.1,2014-03-03,6,4.0,2.0,0.0
2014-03-03,274000,277500,271000,274000,48255,8.6,22.2,1.1,2014-03-03,7,4.0,2.0,0.0
2014-03-03,274000,277500,271000,274000,48255,8.6,22.2,1.1,2014-03-03,8,4.0,2.0,0.0
2014-03-03,274000,277500,271000,274000,48255,8.6,22.2,1.1,2014-03-03,9,4.0,2.0,0.0
2014-03-03,274000,277500,271000,274000,48255,8.6,22.2,1.1,2014-03-03,10,4.0,2.0,0.0
2014-03-03,274000,277500,271000,274000,48255,8.6,22.2,1.1,2014-03-03,11,4.0,2.0,0.0
2014-03-04,272000,273000,267500,269500,44828,8.6,22.2,1.1,2014-03-04,2,5.0,3.0,2.0
