date,open,high,low,close,volume,roe,per,pbr,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio,Date,SA,economics,IT,finance,social,politics
2017-09-19,349000,351500,348500,350500,11781,10.91,14.33,1.53,348700.0,28200.6,0.005162030398623001,-0.582242931001468,349400.0,22047.8,0.0031482541499709997,-0.465660972976896,352000.0,24613.55,-0.004261363636364,-0.521361201452046,356733.33333333296,30506.383333333302,-0.017473369463652,-0.613818528690443,358762.5,35851.575,-0.023030556426605,-0.671395189751078,-0.004279600570613,0.002853067047076,-0.005706134094151,0.0,-0.622971805293308,2017-09-19,,0,1,0,0,0
2017-09-19,349000,351500,348500,350500,11781,10.91,14.33,1.53,348700.0,28200.6,0.005162030398623001,-0.582242931001468,349400.0,22047.8,0.0031482541499709997,-0.465660972976896,352000.0,24613.55,-0.004261363636364,-0.521361201452046,356733.33333333296,30506.383333333302,-0.017473369463652,-0.613818528690443,358762.5,35851.575,-0.023030556426605,-0.671395189751078,-0.004279600570613,0.002853067047076,-0.005706134094151,0.0,-0.622971805293308,2017-09-19,,0,0,1,0,0
2017-09-19,349000,351500,348500,350500,11781,10.91,14.33,1.53,348700.0,28200.6,0.005162030398623001,-0.582242931001468,349400.0,22047.8,0.0031482541499709997,-0.465660972976896,352000.0,24613.55,-0.004261363636364,-0.521361201452046,356733.33333333296,30506.383333333302,-0.017473369463652,-0.613818528690443,358762.5,35851.575,-0.023030556426605,-0.671395189751078,-0.004279600570613,0.002853067047076,-0.005706134094151,0.0,-0.622971805293308,2017-09-19,,0,0,0,1,0
2017-09-20,350000,351500,347500,350500,25595,10.91,14.33,1.53,349500.0,27797.2,0.0028612303290409995,-0.07922380671434501,349850.0,22894.8,0.001857939116764,0.11793944476475,352050.0,24400.8,-0.004402783695498,0.048941018327268,356483.33333333296,30422.366666666698,-0.016784328393099,-0.15867820934378302,358704.16666666704,35740.975,-0.022871679308622998,-0.283875160092863,-0.001426533523538,0.002853067047076,-0.008559201141227,0.0,1.1725659960954098,2017-09-20,,0,0,0,0,1
2017-09-20,350000,351500,347500,350500,25595,10.91,14.33,1.53,349500.0,27797.2,0.0028612303290409995,-0.07922380671434501,349850.0,22894.8,0.001857939116764,0.11793944476475,352050.0,24400.8,-0.004402783695498,0.048941018327268,356483.33333333296,30422.366666666698,-0.016784328393099,-0.15867820934378302,358704.16666666704,35740.975,-0.022871679308622998,-0.283875160092863,-0.001426533523538,0.002853067047076,-0.008559201141227,0.0,1.1725659960954098,2017-09-20,1.0,1,0,0,0,0
2017-09-20,350000,351500,347500,350500,25595,10.91,14.33,1.53,349500.0,27797.2,0.0028612303290409995,-0.07922380671434501,349850.0,22894.8,0.001857939116764,0.11793944476475,352050.0,24400.8,-0.004402783695498,0.048941018327268,356483.33333333296,30422.366666666698,-0.016784328393099,-0.15867820934378302,358704.16666666704,35740.975,-0.022871679308622998,-0.283875160092863,-0.001426533523538,0.002853067047076,-0.008559201141227,0.0,1.1725659960954098,2017-09-20,,0,1,0,0,0
2017-09-20,350000,351500,347500,350500,25595,10.91,14.33,1.53,349500.0,27797.2,0.0028612303290409995,-0.07922380671434501,349850.0,22894.8,0.001857939116764,0.11793944476475,352050.0,24400.8,-0.004402783695498,0.048941018327268,356483.33333333296,30422.366666666698,-0.016784328393099,-0.15867820934378302,358704.16666666704,35740.975,-0.022871679308622998,-0.283875160092863,-0.001426533523538,0.002853067047076,-0.008559201141227,0.0,1.1725659960954098,2017-09-20,1.0,0,0,1,0,0
2017-09-20,350000,351500,347500,350500,25595,10.91,14.33,1.53,349500.0,27797.2,0.0028612303290409995,-0.07922380671434501,349850.0,22894.8,0.001857939116764,0.11793944476475,352050.0,24400.8,-0.004402783695498,0.048941018327268,356483.33333333296,30422.366666666698,-0.016784328393099,-0.15867820934378302,358704.16666666704,35740.975,-0.022871679308622998,-0.283875160092863,-0.001426533523538,0.002853067047076,-0.008559201141227,0.0,1.1725659960954098,2017-09-20,,0,0,0,1,0
2017-09-21,348500,352000,348000,350000,22316,10.91,14.33,1.53,350400.0,24742.8,-0.0011415525114160001,-0.098081057923921,349850.0,23712.8,0.00042875518079200003,-0.058904895246449,351925.0,24611.0,-0.0054699154649430004,-0.09325098533176199,356266.66666666704,30130.9666666667,-0.017589820359282,-0.25936660954566104,358675.0,35745.033333333304,-0.024186241025999002,-0.3756894897286429,-0.005706134094151,0.005714285714285999,-0.005714285714285999,-0.001426533523538,-0.128110959171713,2017-09-21,,0,0,0,0,1
2017-09-21,348500,352000,348000,350000,22316,10.91,14.33,1.53,350400.0,24742.8,-0.0011415525114160001,-0.098081057923921,349850.0,23712.8,0.00042875518079200003,-0.058904895246449,351925.0,24611.0,-0.0054699154649430004,-0.09325098533176199,356266.66666666704,30130.9666666667,-0.017589820359282,-0.25936660954566104,358675.0,35745.033333333304,-0.024186241025999002,-0.3756894897286429,-0.005706134094151,0.005714285714285999,-0.005714285714285999,-0.001426533523538,-0.128110959171713,2017-09-21,1.0,1,0,0,0,0
